Дата формирования:,08.07.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Период отчета:,28 дней,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Категория 3 уровня:,Пленка для ламинирования,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Название товара,Ссылка на товар,Продавец,Бренд,Категория 1 уровня,Категория 3 уровня,Признак товара,"Заказано на сумму, ₽","Динамика оборота, %","Заказано, штуки","Средняя цена, ₽","Минимальная цена, ₽","Доля выкупа, %","Упущенные продажи, ₽",Дней без остатка,"Ср. время доставки до покупателя, часы","Среднесуточные продажи, ₽","Среднесуточные продажи, штуки","Остаток на конец периода, штуки",Схема работы,"Объем товара, л",Показы всего,Просмотры в поиске и каталоге,Просмотры карточки,"Конверсия из показа в заказ, %","В корзину из поиска и каталога, %","В корзину из карточки, %",Скидка за счет акций,"Доля оборота в акциях, %",Дней в акциях,Дней с продвижением,"Доля рекламных расходов, %",Дата создания карточки товара
"Пленка для ламинирования А5, ГЕЛЕОС, 175 мкм, 100 шт, глянцевая",https://www.ozon.ru/product/172498694,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,3700,-28,5,740,740,100,0,2 из 28,28 ч,88,0,2,FBO,0.7,1977,903,124,0.25,0.88,7.25,0,0,4 из 28,0 из 28,0,2020-04-11
"Пленка для ламинирования А5, ГЕЛЕОС, 200 мкм, 100 шт, глянцевая",https://www.ozon.ru/product/172498747,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,8840,152,10,884,884,100,0,23 из 28,52 ч,197,0,0,FBO,1.3,2254,988,148,0.44,1.11,8.78,9.7,100,28 из 28,0 из 28,0,2020-04-11
"Пленка для ламинирования А5, ГЕЛЕОС, 100 мкм, 100 шт, глянцевая",https://www.ozon.ru/product/172498942,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,Super,43664,10,86,508,472,88.2,0,14 из 28,36 ч,989,3,31,FBO,0.7,12741,3818,499,0.68,1.8,16.63,9.2,23.8,4 из 28,0 из 28,0,2020-04-11
"Пленка для ламинирования а3, ГЕЛЕОС, 150 мкм, 100 шт, глянцевая",https://www.ozon.ru/product/172498996,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,Super; Топ-50% по продажам,36801,64,15,2453,2271,100,0,20 из 28,54 ч,883,1,0,FBO,4.3,2086,694,132,0.72,0.28,11.36,9.1,18.5,5 из 28,0 из 28,0,2020-04-11
"Пленка для ламинирования а3, ГЕЛЕОС, 175 мкм, 100 шт, глянцевая",https://www.ozon.ru/product/172498997,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,5504,-31,2,2752,2705,100,0,24 из 28,45 ч,132,0,2,FBO,5.7,1009,591,70,0.2,0.5,4.28,3.4,49.1,18 из 28,0 из 28,0,2020-04-11
"Пленка для ламинирования А3, ГЕЛЕОС, 200 мкм, 100 шт, глянцевая",https://www.ozon.ru/product/172498998,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,6198,-77,2,3099,3099,100,0,19 из 28,90 ч,224,0,2,FBO,6.5,1213,609,77,0.17,0.16,3.89,0,0,4 из 28,0 из 28,0,2020-04-11
"Пленка для ламинирования А5, ГЕЛЕОС, 125 мкм, 100 шт, глянцевая",https://www.ozon.ru/product/172498999,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,13618,-38,20,681,599,92.3,0,24 из 28,57 ч,359,1,3,FBO,3.3,3529,1165,190,0.57,0.68,10,13.2,8.8,4 из 28,0 из 28,0,2020-04-11
"Пленка для ламинирования А5, ГЕЛЕОС, 250 мкм, 100 шт, глянцевая",https://www.ozon.ru/product/172499000,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,6282,-39,6,1047,1047,83.3,0,21 из 28,39 ч,192,0,1,FBO,1.7,1725,810,101,0.35,0.61,7.92,16.2,100,28 из 28,0 из 28,0,2020-04-11
"Пленка для ламинирования глянцевая LF, 80 мкм, А4 (216мм х 303мм), 100шт",https://www.ozon.ru/product/178326496,РеалИСТ,LF,Электроника,Пленка для ламинирования,,1584,12,2,792,792,100,0,28 из 28,53 ч,39,0,36,FBO,1.4,1801,911,48,0.11,0,14.58,10,100,28 из 28,0 из 28,0,2020-06-12
"Пленка для ламинирования глянцевая LF, 75 мкм, А4 (216мм х 303мм), 100шт",https://www.ozon.ru/product/178727359,РеалИСТ,LF,Электроника,Пленка для ламинирования,,1540,-45,2,770,770,100,0,28 из 28,90 ч,39,0,250,FBS,1.2,753,372,12,0.27,0,16.66,0,0,1 из 28,0 из 28,0,2020-06-18
"Пленка для ламинирования А6 75 мкм, ГЕЛЕОС, (111х154), 100 шт",https://www.ozon.ru/product/223291523,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,8487,5,26,326,299,84.6,0,12 из 28,38 ч,179,1,20,FBO,0.6,6081,3480,398,0.43,0.68,8.79,9.4,10.6,4 из 28,0 из 28,0,2021-01-17
"Пленка для ламинирования А7, 75 мкм, ГЕЛЕОС, 80х111, 100 шт",https://www.ozon.ru/product/223291895,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,6700,46,25,268,245,100,0,23 из 28,40 ч,149,1,0,FBO,0.7,3729,1278,302,0.67,0.7,9.93,9.3,7.3,4 из 28,0 из 28,0,2021-01-17
"Пленка для ламинирования А6 60 мкм, ГЕЛЕОС, (111х154), 100 шт",https://www.ozon.ru/product/223292313,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,19420,-14,62,313,290,74.1,0,12 из 28,33 ч,423,2,54,FBO,1.6,14230,6130,702,0.44,0.78,9.97,9.4,20.9,4 из 28,0 из 28,0,2021-01-17
"Пленка для ламинирования А4, самоклеящаяся глянцевая ГЕЛЕОС, 216x303 (80 мкм), 100 штук",https://www.ozon.ru/product/223294688,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,12510,500,6,2085,2085,100,0,13 из 28,28 ч,109,0,100,"FBO,FBS",2,776,373,36,0.77,0.26,8.33,0,0,4 из 28,0 из 28,0,2021-01-17
"Пленка для ламинирования А4, самоклеящаяся ГЕЛЕОС, 216x303 (75 мик), 100 штук",https://www.ozon.ru/product/223294960,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,3910,100,2,1955,1955,100,0,28 из 28,45 ч,101,0,57,FBO,2,849,369,40,0.24,0,7.5,0,0,4 из 28,0 из 28,0,2021-01-17
Пленка для ламинирования OfficeSpace листы для ламинирования,https://www.ozon.ru/product/234106560,"ООО ""РЕЛЬЕФ-ЦЕНТР""",OfficeSpace,Электроника,Пленка для ламинирования,Super,27429,-45,39,703,683,97.4,0,13 из 28,35 ч,628,1,18,FBO,1.7,39554,7758,643,0.1,0.36,13.21,6.1,52.3,13 из 28,28 из 28,28.9,2021-02-26
Пленка для ламинирования OfficeSpace листы для ламинирования,https://www.ozon.ru/product/235184007,"ООО ""РЕЛЬЕФ-ЦЕНТР""",OfficeSpace,Электроника,Пленка для ламинирования,Super,47006,-2,57,825,806,94.7,0,12 из 28,34 ч,1023,2,16357,FBO,1.3,50607,8573,693,0.11,0.34,10.38,3.4,32.6,11 из 28,28 из 28,14.6,2021-03-01
Пленка для ламинирования OfficeSpace листы для ламинирования,https://www.ozon.ru/product/235200355,"ООО ""РЕЛЬЕФ-ЦЕНТР""",OfficeSpace,Электроника,Пленка для ламинирования,Super,198045,-16,221,896,815,96.7,0,19 из 28,40 ч,4684,8,1,FBO,2.2,114739,21862,1558,0.19,0.5,16.17,3.4,3.8,6 из 28,28 из 28,31.2,2021-03-01
Пленка для ламинирования OfficeSpace листы для ламинирования,https://www.ozon.ru/product/235200812,"ООО ""РЕЛЬЕФ-ЦЕНТР""",OfficeSpace,Электроника,Пленка для ламинирования,Super,33240,-16,27,1231,1200,100,0,19 из 28,41 ч,824,1,14535,FBO,1.7,3598,741,287,0.75,0,10.45,3.4,25.3,11 из 28,0 из 28,0,2021-03-01
Пленка для ламинирования OfficeSpace листы для ламинирования,https://www.ozon.ru/product/235202603,"ООО ""РЕЛЬЕФ-ЦЕНТР""",OfficeSpace,Электроника,Пленка для ламинирования,Super,37511,-17,61,615,607,93.4,0,18 из 28,45 ч,729,2,83,FBO,1,49560,10741,760,0.12,0.28,13.42,3.5,63.1,11 из 28,28 из 28,18.6,2021-03-01
"Пленка для ламинирования А3, глянцевая, 100 мкм, 100 шт.",https://www.ozon.ru/product/235203039,"ООО ""РЕЛЬЕФ-ЦЕНТР""",OfficeSpace,Электроника,Пленка для ламинирования,,1942,-64,1,1942,1942,100,0,20 из 28,60 ч,47,0,15,FBO,2.9,1595,685,187,0.06,0.29,2.13,0,0,0 из 28,0 из 28,0,2021-03-01
Пленка для ламинирования OfficeSpace листы для ламинирования,https://www.ozon.ru/product/235205011,"ООО ""РЕЛЬЕФ-ЦЕНТР""",OfficeSpace,Электроника,Пленка для ламинирования,,3926,214,2,1963,1963,100,0,0 из 28,28 ч,101,0,30,FBO,2.3,794,232,110,0.25,0,0.9,0,0,11 из 28,0 из 28,0,2021-03-01
"Пленка для ламинирования А5, глянцевая, 100 мкм, 100 шт.",https://www.ozon.ru/product/235206655,"ООО ""РЕЛЬЕФ-ЦЕНТР""",OfficeSpace,Электроника,Пленка для ламинирования,,1144,153,2,572,572,100,0,24 из 28,53 ч,29,0,14,FBO,1,1456,1197,10,0.14,0.41,10,0,0,0 из 28,0 из 28,0,2021-03-01
"Пленка для ламинирования А3, глянцевая, 80 мкм, 100 шт.",https://www.ozon.ru/product/235209520,"ООО ""РЕЛЬЕФ-ЦЕНТР""",OfficeSpace,Электроника,Пленка для ламинирования,,1633,Нет данных,1,1633,1633,100,0,2 из 28,28 ч,40,0,15,FBO,2.9,1038,509,133,0.1,0.39,2.25,0,0,14 из 28,0 из 28,0,2021-03-01
"Пленка для ламинирования А6, глянцевая, 125 мкм, 100 шт.",https://www.ozon.ru/product/235223863,"ООО ""РЕЛЬЕФ-ЦЕНТР""",OfficeSpace,Электроника,Пленка для ламинирования,,11383,276,25,455,455,88,0,15 из 28,43 ч,257,1,14,FBO,0.5,3858,2711,121,0.65,0.62,17.35,1.7,95.9,24 из 28,0 из 28,0,2021-03-01
Пленка для ламинирования А4 216х303мм 75мкм 100 шт. в пачке,https://www.ozon.ru/product/245424911,-Ластик и промокашка-,MQ,Электроника,Пленка для ламинирования,,1800,-86,3,600,600,100,0,14 из 28,28 ч,52,0,15,FBO,0.1,1479,508,70,0.2,0.19,7.14,61.9,100,28 из 28,0 из 28,0,2021-03-25
"Пленка для ламинирования глянцевая LF, 250 мкм, А5 (154мм х 216мм), 100шт",https://www.ozon.ru/product/247165756,РеалИСТ,LF,Электроника,Пленка для ламинирования,,1277,Нет данных,1,1277,1277,100,0,-,-,0,0,140,FBS,0.5,129,82,2,0.78,0,50,0,0,22 из 28,0 из 28,0,2021-03-29
"Пленка для ламинирования глянцевая LF, 175 мкм, А5 (154мм х 216мм), 100шт",https://www.ozon.ru/product/247186281,РеалИСТ,LF,Электроника,Пленка для ламинирования,,917,Нет данных,1,917,917,100,0,-,-,0,0,178,FBS,1.4,134,96,3,0.75,0,33.33,0,0,23 из 28,0 из 28,0,2021-03-29
"Пленка для ламинирования глянцевая LF, 150 мкм, А5 (154мм х 216мм), 100шт",https://www.ozon.ru/product/247187744,РеалИСТ,LF,Электроника,Пленка для ламинирования,,864,Нет данных,1,864,864,100,0,-,-,0,0,250,FBS,1.2,142,91,2,0.7,0,50,0,0,23 из 28,0 из 28,0,2021-03-29
"Пленка для ламинирования глянцевая LF, 125 мкм, А5 (154мм х 216мм), 100шт",https://www.ozon.ru/product/247188966,РеалИСТ,LF,Электроника,Пленка для ламинирования,,719,-95,1,719,719,100,0,28 из 28,45 ч,18,0,250,FBS,0.9,365,270,4,0.27,0,25,15.7,100,25 из 28,0 из 28,0,2021-03-29
"Пленка для ламинирования глянцевая LF, 80 мкм, А5 (154мм х 216мм), 100шт",https://www.ozon.ru/product/247190515,РеалИСТ,LF,Электроника,Пленка для ламинирования,,840,-29,2,420,420,Нет данных,0,28 из 28,105 ч,33,0,176,FBS,0.6,610,330,23,0.33,0,13.04,0,0,5 из 28,0 из 28,0,2021-03-29
"Пленка для ламинирования глянцевая WF, 200 мкм, А5 (154мм х 216мм), 100шт",https://www.ozon.ru/product/247250277,РеалИСТ,WF,Электроника,Пленка для ламинирования,,1017,-9,1,1017,1017,100,0,0 из 28,28 ч,28,0,157,FBS,1.6,152,99,4,0.66,0,25,9.1,100,25 из 28,0 из 28,0,2021-03-29
"Пленка для ламинирования глянцевая WF, 75 мкм, А5 (154мм х 216мм), 100шт",https://www.ozon.ru/product/247250969,РеалИСТ,WF,Электроника,Пленка для ламинирования,,1065,-52,3,355,355,100,0,19 из 28,50 ч,26,0,2,FBO,0.6,901,467,10,0.33,0.42,10,27.7,100,15 из 28,0 из 28,0,2021-03-29
"Пленка для ламинирования глянцевая WF, 125 мкм, А5 (154мм х 216мм), 100шт",https://www.ozon.ru/product/247252142,РеалИСТ,WF,Электроника,Пленка для ламинирования,,1254,99,2,627,627,Нет данных,0,0 из 28,28 ч,39,0,250,FBS,1,492,301,13,0.41,0.66,15.38,10,100,22 из 28,0 из 28,0,2021-03-29
"Пленка для ламинирования глянцевая WF, 125 мкм, А3 (303мм х 426мм), 100шт",https://www.ozon.ru/product/247289323,РеалИСТ,WF,Электроника,Пленка для ламинирования,,4020,99,2,2010,2010,100,0,28 из 28,45 ч,103,0,172,FBS,3.6,380,227,10,0.53,0.44,20,9.8,100,23 из 28,0 из 28,0,2021-03-29
"Пленка для ламинирования глянцевая WF, 100 мкм, А3 (303мм х 426мм), 100шт",https://www.ozon.ru/product/247289356,РеалИСТ,WF,Электроника,Пленка для ламинирования,,3130,-34,2,1565,1565,50,0,14 из 28,37 ч,83,0,1,FBO,4.6,488,292,14,0.41,0.34,7.14,9.8,100,22 из 28,0 из 28,0,2021-03-29
"Пленка для ламинирования глянцевая WF, 80 мкм, А3 (303мм х 426мм), 100шт",https://www.ozon.ru/product/247289427,РеалИСТ,WF,Электроника,Пленка для ламинирования,,8490,Нет данных,6,1415,1341,100,0,21 из 28,54 ч,236,0,250,FBS,4.6,475,284,16,1.26,0.35,18.75,9.9,47.4,22 из 28,0 из 28,0,2021-03-29
"Пленка для ламинирования глянцевая WF, 175 мкм, А3 (303мм х 426мм), 100шт",https://www.ozon.ru/product/247289917,РеалИСТ,WF,Электроника,Пленка для ламинирования,,5800,Нет данных,2,2900,2900,100,0,-,-,0,0,78,FBS,5.3,112,70,3,1.79,1.42,33.33,0,0,21 из 28,0 из 28,0,2021-03-29
"Пленка для ламинирования А4, 80 мкм, ГЕЛЕОС, 30 листов, 216х303 мм, глянцевая",https://www.ozon.ru/product/258709911,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,26730,7,69,387,354,94.1,0,11 из 28,42 ч,593,2,9,FBO,0.7,13909,5354,575,0.5,0.97,12.86,9.2,6.6,4 из 28,0 из 28,0,2021-04-26
"Пленка для ламинирования А4, 60 мкм, 30 шт, ГЕЛЕОС, (216х303 мм) глянцевая",https://www.ozon.ru/product/258710338,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,20326,34,58,350,322,94.6,0,11 из 28,32 ч,467,2,9,FBO,0.7,11597,5364,480,0.5,0.93,11.87,9.3,12.7,4 из 28,0 из 28,0,2021-04-26
"Пленка для ламинирования А4, 100 мкм, ГЕЛЕОС, 60 шт",https://www.ozon.ru/product/258711351,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,19310,-13,35,552,490,93.5,0,17 из 28,42 ч,407,1,29,FBO,1.4,6089,2289,321,0.57,1.17,10.9,14,20.3,4 из 28,0 из 28,0,2021-04-26
"Пленка для ламинирования а4, 60 мкм, ГЕЛЕОС, 60 шт, глянцевая",https://www.ozon.ru/product/258712803,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,Топ-50% по продажам,36652,53,85,431,372,95.2,0,15 из 28,33 ч,783,3,1,FBO,0.7,14862,5909,540,0.57,1.62,14.07,15.5,11.2,4 из 28,0 из 28,0,2021-04-26
"Пленка для ламинирования а4, 125 мкм, ГЕЛЕОС, 30 шт, 216х303 мм",https://www.ozon.ru/product/258713636,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,Топ-50% по продажам,48820,4,120,407,372,93.3,0,21 из 28,42 ч,1051,4,3,FBO,0.7,14979,5461,636,0.8,1.31,18.08,9.3,7.6,4 из 28,0 из 28,0,2021-04-26
"Пленка для ламинирования А4, 125 мкм, ГЕЛЕОС, 60 шт, 216х303 мм",https://www.ozon.ru/product/258713922,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,Super,29145,45,45,648,589,84.4,0,13 из 28,46 ч,661,1,3,FBO,1,6424,1676,256,0.7,0.59,13.28,9.2,2,4 из 28,0 из 28,0,2021-04-26
"Пленка для ламинирования а4 ГЕЛЕОС, 60,80 мкм по 15 шт, набор",https://www.ozon.ru/product/258715396,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,7200,-25,20,360,360,89.4,0,11 из 28,31 ч,148,1,27,FBO,0.3,9029,4496,243,0.22,1,7.81,0,0,4 из 28,0 из 28,0,2021-04-26
